epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.6061,,,,28.0557,3.2079
2,0.5610,,,,20.5470,4.3802
3,0.5290,,,,20.8971,4.3068
4,0.5109,,,,21.1621,4.2529
5,0.4995,,,,21.5368,4.1789
6,0.4925,,,,21.4874,4.1885
7,0.4876,,,,21.7700,4.1341
8,0.4833,,,,21.9926,4.0923
9,0.4808,,,,22.1845,4.0569
10,0.4779,,,,22.1756,4.0585
11,0.4754,,,,22.2301,4.0486
12,0.4745,,,,22.0601,4.0798
13,0.4712,,,,22.2972,4.0364
14,0.4698,,,,22.4679,4.0057
15,0.4694,,,,22.4747,4.0045
16,0.4664,,,,22.3221,4.0319
17,0.4647,,,,22.3882,4.0200
18,0.4629,,,,22.3055,4.0349
19,0.4617,,,,22.3236,4.0316
20,0.4598,,,,22.6496,3.9736
21,0.4587,,,,22.5381,3.9932
22,0.4572,,,,22.5253,3.9955
23,0.4559,,,,22.4750,4.0044
24,0.4543,,,,22.8314,3.9419
25,0.4521,,,,22.7756,3.9516
26,0.4509,,,,22.4519,4.0086
27,0.4509,,,,22.5456,3.9919
28,0.4491,,,,22.6598,3.9718
29,0.4481,,,,22.4305,4.0124
30,0.4465,,,,22.6000,3.9823
31,0.4451,,,,22.5408,3.9928
32,0.4441,,,,22.6285,3.9773
33,0.4417,,,,22.4728,4.0048
34,0.4415,,,,22.7881,3.9494
35,0.4395,,,,22.6138,3.9799
36,0.4392,,,,22.5430,3.9924
37,0.4366,,,,22.4324,4.0121
38,0.4350,,,,22.4104,4.0160
39,0.4335,,,,22.3847,4.0206
40,0.4319,,,,22.5031,3.9994
41,0.4300,,,,23.0697,3.9012
42,0.4296,,,,22.6400,3.9753
43,0.4271,,,,22.6714,3.9698
44,0.4263,,,,22.4403,4.0106
45,0.4242,,,,22.7569,3.9549
46,0.4235,,,,22.5297,3.9947
47,0.4220,,,,22.4996,4.0001
48,0.4194,,,,22.7140,3.9623
49,0.4188,,,,22.4238,4.0136
50,0.4175,,,,22.3472,4.0274
51,0.4167,0.7409,0.8506,0.8506,22.6755,3.9690
52,0.4144,0.7432,0.8520,0.8520,22.8927,3.9314
53,0.4117,0.7521,0.8580,0.8580,23.0155,3.9104
54,0.4088,0.7185,0.8357,0.8357,22.8766,3.9342
55,0.4071,0.7439,0.8526,0.8526,22.9168,3.9272
56,0.4038,0.7223,0.8382,0.8382,23.6607,3.8038
57,0.4025,0.7418,0.8512,0.8512,23.1526,3.8872
58,0.4012,0.7537,0.8590,0.8590,22.8665,3.9359
59,0.3998,0.7382,0.8488,0.8488,22.8244,3.9431
60,0.3979,0.7491,0.8560,0.8560,22.9236,3.9261
61,0.3960,0.7373,0.8483,0.8483,22.8940,3.9312
62,0.3936,0.7472,0.8548,0.8548,22.9541,3.9209
63,0.3918,0.7407,0.8505,0.8505,23.0964,3.8967
64,0.3899,0.7498,0.8565,0.8565,22.7597,3.9544
65,0.3889,0.7572,0.8613,0.8613,22.9882,3.9150
66,0.3880,0.7363,0.8475,0.8475,22.8955,3.9309
67,0.3869,0.7445,0.8530,0.8530,22.8754,3.9344
68,0.3862,0.7526,0.8584,0.8584,22.8615,3.9367
69,0.3846,0.7365,0.8477,0.8477,22.8069,3.9462
70,0.3839,0.7367,0.8478,0.8478,23.0259,3.9086
71,0.3824,0.7458,0.8538,0.8538,23.3335,3.8571
72,0.3807,0.7507,0.8570,0.8570,23.1490,3.8879
73,0.3808,0.7260,0.8407,0.8407,23.0956,3.8968
74,0.3803,0.7545,0.8595,0.8595,22.9830,3.9159
75,0.3812,0.7541,0.8592,0.8592,22.9538,3.9209
76,0.3807,0.7399,0.8499,0.8499,22.8218,3.9436
77,0.3802,0.7453,0.8536,0.8536,22.9801,3.9164
78,0.3783,0.7409,0.8507,0.8507,23.0157,3.9104
79,0.3766,0.7367,0.8479,0.8479,22.8205,3.9438
80,0.3754,0.7552,0.8600,0.8600,22.8697,3.9353
81,0.3743,0.7410,0.8507,0.8507,23.0002,3.9130
82,0.3734,0.7212,0.8375,0.8375,23.1511,3.8875
83,0.3732,0.7451,0.8534,0.8534,22.9235,3.9261
84,0.3722,0.7461,0.8540,0.8540,23.0195,3.9097
85,0.3710,0.7574,0.8614,0.8614,23.0094,3.9114
86,0.3708,0.7613,0.8640,0.8640,22.8916,3.9316
87,0.3697,0.7569,0.8612,0.8612,23.1359,3.8901
88,0.3690,0.7615,0.8642,0.8642,22.9774,3.9169
89,0.3682,0.7206,0.8371,0.8371,23.3150,3.8602
90,0.3676,0.7434,0.8523,0.8523,23.1194,3.8928
91,0.3676,0.7203,0.8369,0.8369,23.1817,3.8824
92,0.3670,0.7208,0.8372,0.8372,23.2035,3.8787
93,0.3667,0.7272,0.8415,0.8415,23.0119,3.9110
94,0.3677,0.7328,0.8453,0.8453,23.1889,3.8812
95,0.3667,0.7477,0.8551,0.8551,23.1200,3.8927
96,0.3665,0.7415,0.8510,0.8510,23.0338,3.9073
97,0.3653,0.7390,0.8494,0.8494,22.9780,3.9168
98,0.3644,0.7206,0.8371,0.8371,22.9792,3.9166
