epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.5827,,,,50.0424,1.7985
2,0.5255,,,,36.9293,2.4371
3,0.5068,,,,39.1923,2.2964
4,0.4974,,,,40.2749,2.2346
5,0.4895,,,,40.4992,2.2223
6,0.4855,,,,41.2459,2.1820
7,0.4814,,,,41.6051,2.1632
8,0.4780,,,,41.7317,2.1566
9,0.4753,,,,40.9096,2.2000
10,0.4730,,,,41.4901,2.1692
11,0.4706,,,,42.1316,2.1362
12,0.4704,,,,41.8715,2.1494
13,0.4667,,,,41.9349,2.1462
14,0.4652,,,,42.6913,2.1082
15,0.4661,,,,42.4147,2.1219
16,0.4637,,,,41.7709,2.1546
17,0.4614,,,,41.9207,2.1469
18,0.4600,,,,42.5149,2.1169
19,0.4583,,,,42.1336,2.1361
20,0.4571,,,,41.6541,2.1606
21,0.4557,,,,42.8286,2.1014
22,0.4545,,,,42.6401,2.1107
23,0.4540,,,,42.0459,2.1405
24,0.4538,,,,42.2547,2.1299
25,0.4508,,,,42.7812,2.1037
26,0.4500,,,,43.2307,2.0819
27,0.4502,,,,43.5463,2.0668
28,0.4482,,,,42.8647,2.0996
29,0.4468,,,,42.6086,2.1122
30,0.4447,,,,42.2354,2.1309
31,0.4435,,,,42.9127,2.0973
32,0.4410,,,,42.4156,2.1219
33,0.4424,,,,42.5824,2.1135
34,0.4401,,,,42.3998,2.1227
35,0.4421,,,,41.9284,2.1465
36,0.4385,,,,42.0722,2.1392
37,0.4330,,,,42.5413,2.1156
38,0.4311,,,,42.0952,2.1380
39,0.4270,,,,42.3609,2.1246
40,0.4268,,,,41.9840,2.1437
41,0.4230,,,,42.3521,2.1250
42,0.4270,,,,42.0006,2.1428
43,0.4300,,,,42.2949,2.1279
44,0.4186,,,,42.6069,2.1123
45,0.4110,,,,42.4442,2.1204
46,0.4103,,,,42.5057,2.1174
47,0.4032,,,,42.0457,2.1405
48,0.3996,,,,42.4308,2.1211
49,0.3979,,,,42.5832,2.1135
50,0.3976,,,,42.2513,2.1301
51,0.3961,0.7735,0.8720,0.8720,43.4074,2.0734
52,0.3952,0.7685,0.8688,0.8688,42.5188,2.1167
53,0.3943,0.7715,0.8708,0.8708,42.9976,2.0931
54,0.3931,0.7521,0.8581,0.8581,43.0202,2.0920
55,0.3902,0.7543,0.8596,0.8596,42.6720,2.1091
56,0.3891,0.7468,0.8547,0.8547,42.6970,2.1079
57,0.3900,0.7700,0.8697,0.8697,42.5052,2.1174
58,0.3922,0.7689,0.8691,0.8691,42.6359,2.1109
59,0.4087,0.7518,0.8580,0.8580,42.7360,2.1060
60,0.4025,0.7669,0.8678,0.8678,43.0993,2.0882
61,0.3977,0.7679,0.8684,0.8684,42.4927,2.1180
62,0.3922,0.7892,0.8819,0.8819,42.4988,2.1177
63,0.3863,0.7649,0.8665,0.8665,42.4596,2.1197
64,0.3841,0.7746,0.8727,0.8727,42.9235,2.0968
65,0.3845,0.7768,0.8741,0.8741,42.9080,2.0975
66,0.3815,0.7716,0.8707,0.8707,43.3152,2.0778
67,0.3808,0.7678,0.8683,0.8683,42.6549,2.1100
68,0.3810,0.7732,0.8718,0.8718,43.5189,2.0681
69,0.3785,0.7649,0.8665,0.8665,42.5503,2.1151
70,0.3785,0.7701,0.8697,0.8697,43.6173,2.0634
71,0.3775,0.7704,0.8700,0.8700,42.2127,2.1321
72,0.3762,0.7661,0.8672,0.8672,43.2391,2.0814
73,0.3756,0.7549,0.8600,0.8600,43.4224,2.0727
74,0.3752,0.7692,0.8692,0.8692,43.4042,2.0735
75,0.3740,0.7718,0.8709,0.8709,42.8953,2.0981
76,0.3728,0.7617,0.8644,0.8644,42.8454,2.1006
77,0.3721,0.7656,0.8669,0.8669,42.9332,2.0963
78,0.3718,0.7673,0.8679,0.8679,42.6120,2.1121
79,0.3715,0.7591,0.8626,0.8626,43.1981,2.0834
80,0.3707,0.7747,0.8728,0.8728,43.0609,2.0901
81,0.3703,0.7673,0.8680,0.8680,43.5668,2.0658
82,0.3699,0.7405,0.8505,0.8505,42.9709,2.0944
83,0.3686,0.7669,0.8677,0.8677,43.4198,2.0728
84,0.3692,0.7670,0.8677,0.8677,42.8263,2.1015
85,0.3676,0.7821,0.8774,0.8774,42.6459,2.1104
86,0.3668,0.7789,0.8754,0.8754,43.6915,2.0599
87,0.3651,0.7761,0.8736,0.8736,43.3456,2.0763
88,0.3646,0.7820,0.8774,0.8774,43.3354,2.0768
89,0.3635,0.7555,0.8604,0.8604,43.6288,2.0629
90,0.3625,0.7624,0.8648,0.8648,43.7603,2.0567
91,0.3628,0.7438,0.8527,0.8527,43.2387,2.0815
92,0.3624,0.7433,0.8523,0.8523,43.7077,2.0591
93,0.3609,0.7473,0.8550,0.8550,43.3053,2.0783
94,0.3603,0.7539,0.8593,0.8593,42.9495,2.0955
