epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.3410,,,,29.8221,3.6215
2,0.2853,,,,25.1025,4.3024
3,0.2643,,,,25.4612,4.2418
4,0.2521,,,,25.8732,4.1742
5,0.2444,,,,25.7044,4.2016
6,0.2381,,,,25.6425,4.2118
7,0.2340,,,,25.6420,4.2118
8,0.2303,,,,25.7365,4.1964
9,0.2278,,,,25.7570,4.1930
10,0.2250,,,,25.8475,4.1784
11,0.2225,,,,26.0533,4.1453
12,0.2199,,,,25.8488,4.1781
13,0.2177,,,,26.0739,4.1421
14,0.2156,,,,25.7295,4.1975
15,0.2139,,,,26.0047,4.1531
16,0.2126,,,,25.9594,4.1603
17,0.2107,,,,25.8246,4.1821
18,0.2084,,,,25.8360,4.1802
19,0.2067,,,,25.8924,4.1711
20,0.2051,,,,25.7300,4.1974
21,0.2036,,,,25.7292,4.1976
22,0.2018,,,,25.6669,4.2077
23,0.2000,,,,25.7003,4.2023
24,0.1983,,,,26.0177,4.1510
25,0.1970,,,,25.6545,4.2098
26,0.1952,,,,25.8335,4.1806
27,0.1944,,,,25.6414,4.2119
28,0.1935,,,,25.8530,4.1775
29,0.1923,,,,25.9042,4.1692
30,0.1907,,,,25.7500,4.1942
31,0.1888,,,,25.7669,4.1914
32,0.1872,,,,25.5557,4.2261
33,0.1863,,,,26.0168,4.1512
34,0.1854,,,,25.8211,4.1826
35,0.1842,,,,25.7276,4.1978
36,0.1830,,,,25.7787,4.1895
37,0.1819,,,,25.6509,4.2104
38,0.1805,,,,26.0302,4.1490
39,0.1800,,,,25.8396,4.1796
40,0.1784,,,,25.7139,4.2001
41,0.1776,,,,25.6320,4.2135
42,0.1757,,,,26.0260,4.1497
43,0.1746,,,,25.8758,4.1738
44,0.1727,,,,25.7762,4.1899
45,0.1719,,,,25.9641,4.1596
46,0.1710,,,,25.7951,4.1868
47,0.1700,,,,26.0976,4.1383
48,0.1691,,,,26.1051,4.1371
49,0.1676,,,,25.8752,4.1739
50,0.1663,,,,25.7416,4.1955
51,0.1650,0.5711,0.7232,0.7232,26.0309,4.1489
52,0.1648,0.5303,0.6874,0.6874,26.3307,4.1017
53,0.1641,0.5488,0.7042,0.7042,26.0762,4.1417
54,0.1628,0.5304,0.6875,0.6875,26.3079,4.1052
55,0.1612,0.4895,0.6500,0.6500,25.9621,4.1599
56,0.1607,0.5205,0.6787,0.6787,26.2930,4.1076
57,0.1597,0.5080,0.6675,0.6675,26.0464,4.1464
58,0.1580,0.5454,0.7014,0.7014,26.2328,4.1170
59,0.1571,0.5723,0.7241,0.7241,26.1448,4.1308
60,0.1562,0.5390,0.6948,0.6948,26.3090,4.1051
61,0.1552,0.5490,0.7039,0.7039,26.2183,4.1193
62,0.1548,0.5714,0.7238,0.7238,26.4088,4.0895
63,0.1534,0.5782,0.7286,0.7286,26.1627,4.1280
64,0.1525,0.5923,0.7408,0.7408,26.3542,4.0980
65,0.1520,0.5794,0.7303,0.7303,26.2610,4.1126
66,0.1516,0.5440,0.6996,0.6996,26.3412,4.1000
67,0.1512,0.5755,0.7267,0.7267,26.2708,4.1110
68,0.1503,0.5601,0.7139,0.7139,26.4215,4.0876
69,0.1488,0.5672,0.7199,0.7198,26.1605,4.1284
70,0.1479,0.5944,0.7427,0.7427,26.5240,4.0718
71,0.1469,0.5869,0.7364,0.7364,26.7073,4.0438
72,0.1463,0.5673,0.7199,0.7199,26.4237,4.0872
73,0.1447,0.5223,0.6803,0.6803,26.3460,4.0993
74,0.1438,0.5884,0.7377,0.7377,26.3511,4.0985
75,0.1434,0.5714,0.7234,0.7234,26.3415,4.1000
76,0.1424,0.5879,0.7373,0.7373,26.4713,4.0799
77,0.1421,0.5510,0.7054,0.7054,26.3244,4.1027
78,0.1410,0.5532,0.7073,0.7073,26.6207,4.0570
79,0.1403,0.5701,0.7222,0.7222,26.3790,4.0942
80,0.1395,0.5780,0.7292,0.7292,26.5291,4.0710
81,0.1387,0.5759,0.7272,0.7272,26.3950,4.0917
82,0.1377,0.5568,0.7106,0.7106,26.3221,4.1030
83,0.1369,0.5848,0.7347,0.7347,26.2875,4.1084
84,0.1359,0.5742,0.7256,0.7256,26.4361,4.0853
85,0.1349,0.5838,0.7343,0.7343,26.4091,4.0895
86,0.1338,0.5530,0.7074,0.7074,26.3691,4.0957
87,0.1337,0.5823,0.7327,0.7327,26.3975,4.0913
88,0.1329,0.5765,0.7277,0.7277,26.5092,4.0741
89,0.1323,0.5441,0.6997,0.6997,26.3759,4.0946
90,0.1318,0.5908,0.7398,0.7398,26.3786,4.0942
91,0.1311,0.5484,0.7036,0.7036,26.4071,4.0898
92,0.1302,0.5553,0.7095,0.7095,26.4191,4.0879
93,0.1294,0.5890,0.7385,0.7385,26.2362,4.1165
94,0.1288,0.5222,0.6801,0.6801,26.4144,4.0887
95,0.1288,0.5321,0.6887,0.6887,26.5036,4.0749
96,0.1275,0.5252,0.6830,0.6830,26.4431,4.0842
97,0.1263,0.5802,0.7313,0.7313,26.3744,4.0949
98,0.1260,0.4979,0.6576,0.6576,26.3405,4.1002
99,0.1258,0.5865,0.7360,0.7360,26.4082,4.0896
100,0.1250,0.5981,0.7459,0.7459,26.4039,4.0903
101,0.1244,0.5780,0.7290,0.7290,26.3845,4.0933
102,0.1240,0.5599,0.7131,0.7131,26.4673,4.0805
103,0.1245,0.5591,0.7126,0.7126,26.5646,4.0656
104,0.1247,0.5938,0.7428,0.7428,26.3838,4.0934
105,0.1238,0.5014,0.6609,0.6609,26.4655,4.0808
106,0.1235,0.5283,0.6859,0.6859,26.3186,4.1036
107,0.1225,0.5480,0.7027,0.7027,26.4106,4.0893
108,0.1223,0.5730,0.7250,0.7250,27.0015,3.9998
109,0.1211,0.5835,0.7333,0.7333,26.4053,4.0901
110,0.1193,0.5550,0.7093,0.7093,26.3557,4.0978
111,0.1185,0.5589,0.7130,0.7130,26.5908,4.0616
112,0.1173,0.5728,0.7246,0.7246,26.4145,4.0887
113,0.1169,0.5636,0.7170,0.7170,26.2221,4.1187
114,0.1170,0.5981,0.7460,0.7460,26.4080,4.0897
115,0.1171,0.5881,0.7374,0.7374,26.7840,4.0323
116,0.1163,0.5180,0.6767,0.6767,26.4110,4.0892
117,0.1160,0.5557,0.7092,0.7092,26.5934,4.0612
118,0.1156,0.5549,0.7092,0.7092,26.5740,4.0641
119,0.1148,0.5588,0.7123,0.7123,26.6243,4.0565
120,0.1134,0.5480,0.7029,0.7029,26.4429,4.0843
121,0.1124,0.5440,0.6995,0.6995,26.3169,4.1038
122,0.1122,0.5880,0.7372,0.7372,26.3063,4.1055
123,0.1118,0.5842,0.7345,0.7345,26.6280,4.0559
124,0.1114,0.5874,0.7368,0.7368,26.4265,4.0868
125,0.1110,0.5582,0.7122,0.7122,26.5769,4.0637
126,0.1110,0.5933,0.7418,0.7418,26.4027,4.0905
127,0.1101,0.5801,0.7305,0.7305,26.6524,4.0522
128,0.1098,0.5165,0.6747,0.6747,26.3554,4.0978
129,0.1096,0.5920,0.7404,0.7404,26.5077,4.0743
130,0.1101,0.5472,0.7026,0.7026,26.5660,4.0653
131,0.1104,0.5893,0.7381,0.7381,26.6636,4.0505
