epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.5028,,,,73.6365,1.4667
2,0.4112,,,,49.3642,2.1878
3,0.3622,,,,49.1148,2.1989
4,0.3285,,,,49.4554,2.1838
5,0.3042,,,,50.1515,2.1535
6,0.2846,,,,51.0021,2.1176
7,0.2700,,,,52.1102,2.0725
8,0.2576,,,,53.0890,2.0343
9,0.2467,,,,52.8890,2.0420
10,0.2374,,,,53.7730,2.0084
11,0.2304,,,,54.2341,1.9914
12,0.2239,,,,54.4134,1.9848
13,0.2188,,,,55.5025,1.9459
14,0.2141,,,,54.2016,1.9926
15,0.2101,,,,54.6996,1.9744
16,0.2066,,,,55.1784,1.9573
17,0.2036,,,,53.5823,2.0156
18,0.2008,,,,53.8263,2.0065
19,0.1983,,,,54.5274,1.9807
20,0.1961,,,,53.6893,2.0116
21,0.1947,,,,54.1177,1.9957
22,0.1924,,,,53.8319,2.0062
23,0.1905,,,,53.4428,2.0209
24,0.1884,,,,53.4827,2.0193
25,0.1867,,,,53.7863,2.0079
26,0.1852,,,,53.7253,2.0102
27,0.1837,,,,53.1491,2.0320
28,0.1821,,,,53.8447,2.0058
29,0.1806,,,,54.1494,1.9945
30,0.1790,,,,53.7827,2.0081
31,0.1777,,,,54.1889,1.9930
32,0.1761,,,,53.4678,2.0199
33,0.1750,,,,54.0216,1.9992
34,0.1736,,,,53.7939,2.0077
35,0.1724,,,,54.1146,1.9958
36,0.1711,,,,54.2095,1.9923
37,0.1697,,,,53.5797,2.0157
38,0.1683,,,,53.7188,2.0105
39,0.1669,,,,53.5748,2.0159
40,0.1656,,,,53.6981,2.0112
41,0.1644,,,,54.3249,1.9880
42,0.1632,,,,53.9374,2.0023
43,0.1625,,,,52.9669,2.0390
44,0.1611,,,,54.3319,1.9878
45,0.1598,,,,55.1604,1.9579
46,0.1600,,,,54.1555,1.9943
47,0.1580,,,,53.3439,2.0246
48,0.1567,,,,54.7680,1.9720
49,0.1555,,,,54.2056,1.9924
50,0.1545,,,,53.7665,2.0087
51,0.1538,0.6016,0.7480,0.7480,53.9524,2.0018
52,0.1522,0.5690,0.7209,0.7209,54.5362,1.9803
53,0.1513,0.5926,0.7403,0.7403,56.8225,1.9007
54,0.1505,0.6065,0.7527,0.7527,54.0948,1.9965
55,0.1492,0.5360,0.6923,0.6923,54.9567,1.9652
56,0.1479,0.5412,0.6972,0.6972,54.8690,1.9683
57,0.1474,0.5414,0.6973,0.6973,54.5462,1.9800
58,0.1466,0.5977,0.7456,0.7456,55.0068,1.9634
59,0.1454,0.5991,0.7464,0.7464,54.6756,1.9753
60,0.1445,0.5714,0.7235,0.7235,54.2870,1.9894
61,0.1438,0.5831,0.7330,0.7330,54.0674,1.9975
62,0.1430,0.6028,0.7489,0.7489,54.7855,1.9713
